player_name,country_code
xJade,US
BuliBabba,PL
Cappo,DE
Shadow_Titan,DE
Seljuin,CA
xz0dus,IS
cguwolfer,TW
Frydac,BE
Blackrobe,ID
AreYouNotEntertained,CA
fnT,US
StarDoM,AU
Fiddler112,NL
CommanderC0dy,DE
ComanderRex3,DE
Bacon_404x,TH
It_White,TH
ShinyPotato,FR
Peace_,US
TheChaser,NO
Kwuzard,ZA
Xsicer,NO
lysenko,CN
jae_,NO
DangerosoDavo,GB
Vii,AU
Xaelyn,AU
Commander_Barnes,US
lordwilliam,AU
zomtomtom,BE
Merczz,AU
Sackferkel,DE
SweetSugarHigh,GB
lvxmas,CN
Flank,US
DropShock,US
Cromestien,US
Beefers_,DE
COH2,US
SaltyBacon,NZ
Babitch,DE
Jesus_crispus,SE
Crispypeas,AU
lomma,SE
Nudiben,AU
T111cal,SE
The_Suspect,??
RatiFesta,GB
Myrn,NO
DonkanaillePrime,DE
Roballa,FI
Novum,DE
Swallowbug11,US
Ghostbear,US
[oAG]Keqs,CH
millers,US
Morphine,GB
AFUS_Enjoyer,RU
Torana,AU
Bob_Tschigerillo,DE
[osen]indev,RU
NiSE,RU
yalugin,UZ
Chevalion,DE
DumpMags,GB
temojii,TR
Snowflake22,AU
Dontcallme_Noob,BD
BotBeard,GB
XxSalemxX,HR
Spdplaya,GB
p0w3r2416,SG
Firezar,RU
kosmiss,RU
[DmE]Roostyla,GB
[LTP]onename,CN
[DmE]ThunFisch,DE
iloveshabu,PH
Laudy,CZ
Rompy,NO
Guvnor,AU
TicklishTick,DE
small,AU
[DmE]SlickLikeVik,BG
Tsirya,RU
Raikoh,??
supasquid,AU
Dunkelstich,DE
Cozzwald,AU
hanstuoaell,US
BullyBonker,US
TM_8D,??
_ezy_,AU
LouieTheBeast,US
cetme,DE
SnOeN,DK
aleph_one,AU
Tralus,US
Booty,AU
q11,CN
sweet_savage,GB
Barbarbarbar,DE
bStEalTH,US
yourself_one,DK
helaghae,US
ZowMeDong,??
TheBallotEater,US
Phalange,FR
PawEnforcer,RU
SonGoguz,DE
NotHenry,US
Object416,US
Exzampl,RU
Demonz,KZ
VonComet,SI
UKF,DE
Levitus,GB
zutonxp,HU
AureliaShirley,NO
damgleo,CN
elTUcco,DE
[WNTR]_Fenris_SC2,DE
BLeeYz,CZ
velky_cmoud,CZ
borisssin10,RU
Tesla,AU
TehAnnihilaterer,US
bORg1,HU
enepalabra,US
Corvinuss,PL
deadsnake,US
mazuki,FR
Chlenusz,PL
[KAK]CuddlyFiend,ZA
RandomSkibidi,IN
[KAK]LostinOz,AU
Skeymar,TR
ArmoredInsecta,AU
Pendadron,AT
Granite,CZ
Hairy_Potter,BE
ToOl1tAf,SA
Maricuska,CZ
Kcorp,NZ
DonaldPimp,US
mprghost,AU
RDSCommander,DE
thanhnd,VN
Bumsyy,GB
powermjp,GB
Mr_Dirac,SE
spieriz,PL
[smile]NEO,DE
[Bats]Revec,??
TechnoSPliff,NL
[DmE]Cobalt,FR
Fourleaf0328,CN
Djah,FR
Vettige,NL
[DmE]Melkron,BG
servant_of_scietia,DE
[DmE]RicTricio,ZA
Zockerede,DE
FRODODOR,NL
TTNNKN11,TH
Xyzer,NL
barmegaman,ES
UwUwrld,AU
UniverseMann,US
Sukramk,NO
[1881]Dooz,TR
flipflopper,DE
sco,GB
RollingPanzers,AU
Carefree,GB
miscau,AU
masterdaobbs,AU
Pingen,SE
Mehena,CA
Yoyanto,LA
wizzfizz97,AU
Quassi,AU
Maxwellq22,PH
Hylic,RU
karnevalstintenfisch,DE
Reptor,DE
Buhaticko,RU
keanris,RU
Inflecto,NL
onion2,FR
Bananajoe,US
kingcappybara,AU
braindead,DE
SorryMinoan,GB
claudvin,SG
boyan253,BG
kyxyzjkposf3344ch,TH
Thaksin,TH
Admiral_Yanagi,TH
First_K9K,TH
leMayonnaise,NZ
dindu,CA
SuicidalWalnut,US
[Whatever]Anoromi,??
[Crd]BalRockY,DK
[Crd]TheDirtyRag,US
polly301,CH
ss99,GB
darkiller1,SE
ondrulik,CZ
[RAG]Coops,GB
Walkers,AU
10rotator01,AT
CallMeXander,BE
VoorbijAlleReden,BE
Exerior,DE
Decprocorn147,GB
Ellivas,AU
EduPerarnau,ES
crespi08,ES
GreyWarden,GB
BipolAR,UA
Aviation,US
Puppetmaker,SG
Fel_,??
GVegas,US
Teiresias,AU
FuzzyLogic,AU
ajtaY,HU
Recipricate,AU
NotTheBest,DE
Oleks76,DE
Dachs,DE
PoopyButtholes,GB
[DYRA]Shnikister,RU
moshi_dot,SK
Janobijec,SK
